x,y,s,d
-9.33721,3.34273,42.2932,0
-9.39243,3.22398,42.4242,0
-9.44532,3.10204,42.5571,0
-9.49586,2.97701,42.6919,0
-9.54405,2.84904,42.8287,0
-9.58987,2.71824,42.9673,0
-9.63332,2.58475,43.1077,0
-9.67437,2.44869,43.2498,0
-9.71303,2.3102,43.3936,0
-9.74928,2.16942,43.5389,0
-9.78311,2.02649,43.6858,0
-9.81451,1.88155,43.8341,0
-9.84349,1.73474,43.9838,0
-9.87002,1.58621,44.1346,0
-9.8941,1.43611,44.2867,0
-9.91573,1.28459,44.4397,0
-9.9349,1.13179,44.5937,0
-9.95161,0.977865,44.7485,0
-9.96584,0.822973,44.9041,0
-9.97761,0.667265,45.0602,0
-9.98691,0.510895,45.2169,0
-9.99372,0.354018,45.3739,0
-9.99806,0.196791,45.5312,0
-9.99992,0.0393679,45.6886,0
-9.9993,-0.118094,45.8461,0
-9.9962,-0.275439,46.0035,0
-9.99062,-0.43251,46.1606,0
-9.98257,-0.589153,46.3175,0
-9.97204,-0.745211,46.4739,0
-9.95903,-0.90053,46.6298,0
-9.94356,-1.05496,46.785,0
-9.92562,-1.20834,46.9394,0
-9.90522,-1.36052,47.0929,0
-9.88236,-1.51135,47.2455,0
-9.85706,-1.66068,47.397,0
-9.82931,-1.80837,47.5472,0
-9.79912,-1.95426,47.6962,0
-9.7665,-2.09821,47.8438,0
-9.73146,-2.24009,47.9899,0
-9.694,-2.37974,48.1345,0
-9.65414,-2.51703,48.2775,0
-9.61189,-2.65182,48.4188,0
-9.56726,-2.78399,48.5583,0
-9.52025,-2.91339,48.6959,0
-9.47088,-3.0399,48.8317,0
-9.41917,-3.1634,48.9656,0
-9.36511,-3.28376,49.0976,0
-9.30874,-3.40086,49.2275,0
-9.25005,-3.51459,49.3555,0
-9.18908,-3.62484,49.4815,0
-9.12582,-3.73149,49.6055,0
-9.0603,-3.83444,49.7275,0
-8.99254,-3.93358,49.8476,0
-8.92254,-4.02883,49.9658,0
-8.85033,-4.12007,50.0822,0
-8.77593,-4.20723,50.1968,0
-8.69935,-4.29022,50.3097,0
-8.62062,-4.36896,50.421,0
-8.53974,-4.44336,50.5309,0
-8.45675,-4.51335,50.6395,0
-8.37166,-4.57887,50.7469,0
-8.2845,-4.63984,50.8533,0
-8.19528,-4.69621,50.9588,0
-8.10403,-4.74793,51.0637,0
-8.01077,-4.79494,51.1681,0
-7.91552,-4.83719,51.2723,0
-7.81831,-4.87464,51.3765,0
-7.71917,-4.90726,51.4809,0
-7.6181,-4.93501,51.5857,0
-7.51515,-4.95786,51.6911,0
-7.41034,-4.9758,51.7975,0
-7.30368,-4.98881,51.9049,0
-7.19522,-4.99686,52.0137,0
-7.08497,-4.99996,52.124,0
-6.97297,-4.9981,52.236,0
-6.85923,-4.99128,52.3499,0
-6.7438,-4.97952,52.466,0
-6.62669,-4.96281,52.5842,0
-6.50794,-4.94118,52.705,0
-6.38758,-4.91465,52.8282,0
-6.26563,-4.88325,52.9541,0
-6.14213,-4.847,53.0828,0
-6.0171,-4.80595,53.2144,0
-5.89059,-4.76013,53.349,0
-5.76261,-4.70958,53.4866,0
-5.6332,-4.65437,53.6273,0
-5.5024,-4.59454,53.7711,0
-5.37023,-4.53015,53.9181,0
-5.23673,-4.46127,54.0684,0
-5.10193,-4.38797,54.2218,0
-4.96587,-4.31031,54.3785,0
-4.82857,-4.22838,54.5384,0
-4.69008,-4.14225,54.7014,0
-4.55043,-4.05202,54.8677,0
-4.40964,-3.95776,55.0371,0
-4.26776,-3.85958,55.2097,0
-4.12483,-3.75758,55.3853,0
-3.98087,-3.65184,55.5639,0
-3.83593,-3.54249,55.7455,0
-3.69003,-3.42962,55.9299,0
-3.54322,-3.31335,56.1172,0
-3.39553,-3.19379,56.3072,0
-3.24699,-3.07106,56.4999,0
-3.09766,-2.94529,56.6951,0
-2.94755,-2.8166,56.8928,0
-2.79672,-2.68511,57.0929,0
-2.64519,-2.55097,57.2953,0
-2.493,-2.41429,57.4999,0
-2.3402,-2.27521,57.7065,0
-2.18681,-2.13388,57.9151,0
-2.03288,-1.99044,58.1255,0
-1.87845,-1.84501,58.3376,0
-1.72356,-1.69776,58.5513,0
-1.56823,-1.54883,58.7665,0
-1.41252,-1.39836,58.983,0
-1.25646,-1.2465,59.2008,0
-1.10008,-1.09341,59.4196,0
-0.943435,-0.939227,59.6394,0
-0.786553,-0.784116,59.86,0
-0.629477,-0.628228,60.0813,0
-0.472244,-0.471717,60.3032,0
-0.314895,-0.314738,60.5255,0
-0.157467,-0.157447,60.748,0
-2.44929e-15,-2.44929e-15,60.9707,0
